PG.Pvalue	PG.Cscore	PG.ProteinAccessions	PG.Genes	PG.ProteinDescriptions	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.IsCandidate	PG.Completeness	PG.AvgLog2Quantity	[1] 20250626_PS_25_75_1p5_60mins_300nl_15188_01_Flat_Slot2-32_1_4464.d.PG.Quantity	[2] 20250626_PS_25_75_1p5_60mins_300nl_15188_02_Pillar_Slot2-33_1_4465.d.PG.Quantity	[1] 20250626_PS_25_75_1p5_60mins_300nl_15188_01_Flat_Slot2-32_1_4464.d.PG.Log2Quantity	[2] 20250626_PS_25_75_1p5_60mins_300nl_15188_02_Pillar_Slot2-33_1_4465.d.PG.Log2Quantity
4.807460525235206E-08	52.21908	A0A024QZ33;Q9H0G5	NSRP1	Nuclear speckle splicing regulatory protein 1	11	11	False	100	7.610610749855393	163.5619354248047	233.54039001464844	7.353693229231512	7.867528270479274
1.0149635962803972E-06	49.312218	A0A024QZ42;O75340	PDCD6	HCG1985580, isoform CRA_c;Programmed cell death protein 6	4	4	False	100	4.739096263489159	27.92588233947754	25.5395565032959	4.803530959362418	4.674661567615901
6.963361232027056E-11	57.357372	A0A024QZX5;A0A087X1N8;P35237	SERPINB6	Serpin B6	16	16	False	100	8.036713176428496	291.96466064453125	236.1854705810547	8.189649945872137	7.883776406984855
6.770974261366384E-09	53.905304	A0A024R4E5;Q00341	HDLBP	Vigilin	32	32	False	100	7.37210694735362	165.63873291015625	165.68711853027344	7.3718962614249905	7.372317633282249
1.1199065793996318E-05	46.953625	A0A024R7E8;K7EMV4;K7EN05;K7EPC8;K7EQ44;P60002	ELOF1	Transcription elongation factor 1 homolog	2	2	False	100	6.270357618627594	159.5598907470703	37.342872619628906	7.317954230478936	5.2227610067762535
7.770630396455439E-07	49.575367	A0A024RA52;P25787	PSMA2	Proteasome subunit alpha type;Proteasome subunit alpha type-2	6	6	False	100	8.394951359530918	309.3213195800781	366.3148193359375	8.272962462556775	8.51694025650506
0.00028445799513522846	37.269474	A0A024RCG2;A0A0J9YWM3;E9PRM7;Q96BI1	SLC22A18	Solute carrier family 22 (Organic cation transporter), member 18, isoform CRA_a;Solute carrier family 22 member 18;Solute carrier family 22 member 18;Solute carrier family 22 member 18	1	1	False	100	5.279983524319846	73.78235626220703	20.46040916442871	6.205203957564993	4.3547630910747
0.0004438645032557191	42.435085	A0A024RCM4;A0A0G2JK23;A0A0G2JL47;A0A7I2V508;A0A7P0MQS5;P46379;P46379-2;P46379-3;P46379-4;P46379-5	BAG6	Large proline-rich protein BAG6;Large proline-rich protein BAG6;Large proline-rich protein BAG6;Large proline-rich protein BAG6;Large proline-rich protein BAG6;Large proline-rich protein BAG6;Isoform 2 of Large proline-rich protein BAG6;Isoform 3 of Large proline-rich protein BAG6;Isoform 4 of Large proline-rich protein BAG6;Isoform 5 of Large proline-rich protein BAG6	5	5	False	100	4.554441052839268	31.23410987854004	17.6773681640625	4.965050510908467	4.143831594770069
7.680389055607232E-06	44.57062	A0A075B6H7;A0A0C4DH55;A0A0C4DH90;P01624	IGKV3-7;IGKV3D-7;IGKV3OR2-268;IGKV3-15	Probable non-functional immunoglobulin kappa variable 3-7;Immunoglobulin kappa variable 3D-7;Immunoglobulin kappa variable 3/OR2-268 (non-functional) (Fragment);Immunoglobulin kappa variable 3-15	1	1	False	100	10.902161080894007	1741.415771484375	2103.064208984375	10.76604497923445	11.038277182553564
.
.
.