node_a	node_b	combined_score	neighborhood	fusion	cooccurence	coexpression	experimental	database	textmining
9606.ENSP00000000233	9606.ENSP00000356607	173	0	0	0	45	134	0	81
9606.ENSP00000000233	9606.ENSP00000427567	154	0	0	0	0	128	0	70
9606.ENSP00000000233	9606.ENSP00000253413	151	0	0	0	118	49	0	69
9606.ENSP00000000233	9606.ENSP00000493357	471	0	0	0	56	53	0	457
9606.ENSP00000000233	9606.ENSP00000324127	201	0	0	0	0	46	0	197
9606.ENSP00000000233	9606.ENSP00000325266	180	0	0	0	94	125	0	50
9606.ENSP00000000233	9606.ENSP00000320935	181	0	0	0	55	82	0	133
9606.ENSP00000000233	9606.ENSP00000371175	594	0	0	0	47	296	0	445
9606.ENSP00000000233	9606.ENSP00000480364	154	0	0	0	56	58	0	126
9606.ENSP00000000233	9606.ENSP00000388107	161	0	0	0	94	64	0	91
9606.ENSP00000000233	9606.ENSP00000461784	303	0	0	0	53	126	0	226
9606.ENSP00000000233	9606.ENSP00000381097	168	0	0	0	74	110	0	72
9606.ENSP00000000233	9606.ENSP00000234160	217	0	0	0	120	67	0	123
9606.ENSP00000000233	9606.ENSP00000241502	155	0	0	0	73	93	0	76
9606.ENSP00000000233	9606.ENSP00000317272	347	0	0	0	82	274	0	99
9606.ENSP00000000233	9606.ENSP00000487719	197	0	0	0	86	121	0	81
9606.ENSP00000000233	9606.ENSP00000354878	513	0	0	0	42	0	500	66
9606.ENSP00000000233	9606.ENSP00000479606	322	0	0	0	90	107	0	232
9606.ENSP00000000233	9606.ENSP00000369127	206	0	0	0	85	146	0	66
9606.ENSP00000000233	9606.ENSP00000493946	227	0	0	0	74	132	0	116
9606.ENSP00000000233	9606.ENSP00000383023	153	0	0	0	94	97	0	48
9606.ENSP00000000233	9606.ENSP00000266126	160	0	0	0	62	113	0	72
9606.ENSP00000000233	9606.ENSP00000262027	164	0	0	0	113	71	0	67
9606.ENSP00000000233	9606.ENSP00000271526	163	0	0	0	95	0	0	114
9606.ENSP00000000233	9606.ENSP00000364898	174	0	2	0	82	110	0	71
.
.
.